Timestamp,mq3,mq2,mq6,mq9,mq8,mq5,mics_Vnox,mics_Vred
2024-04-04 11:54:03,32,199,198,198,197,197,880,120
2024-04-04 11:54:04,32,177,176,176,175,174,880,120
2024-04-04 11:54:05,32,194,193,193,193,192,880,120
2024-04-04 11:54:06,32,183,182,181,181,179,879,119
2024-04-04 11:54:07,32,187,187,187,187,187,880,120
2024-04-04 11:54:08,32,180,176,178,177,177,880,119
2024-04-04 11:54:09,32,178,177,177,177,177,879,119
2024-04-04 11:54:10,32,193,191,191,190,189,879,119
2024-04-04 11:54:11,32,184,183,183,183,182,879,117
2024-04-04 11:54:12,32,191,189,189,189,188,879,117
2024-04-04 11:54:13,32,185,184,185,184,184,879,119
2024-04-04 11:54:14,32,193,192,192,190,190,880,120
2024-04-04 11:54:15,32,187,187,187,187,186,880,121
2024-04-04 11:54:16,32,184,183,182,181,180,880,119
2024-04-04 11:54:17,32,190,189,189,189,188,880,118
2024-04-04 11:54:18,32,181,179,179,178,177,880,120
2024-04-04 11:54:19,32,199,199,199,199,198,880,120
2024-04-04 11:54:20,32,178,177,176,176,174,880,119
2024-04-04 11:54:21,32,194,195,195,194,193,880,118
2024-04-04 11:54:22,32,175,173,172,172,171,880,118
2024-04-04 11:54:23,32,199,198,197,197,196,880,120
2024-04-04 11:54:24,32,178,177,177,177,176,881,120
2024-04-04 11:54:25,32,198,197,196,196,195,880,119
2024-04-04 11:54:26,32,174,173,173,173,172,881,119
2024-04-04 11:54:27,32,202,201,201,201,200,880,119
2024-04-04 11:54:28,32,177,177,176,176,176,880,119
2024-04-04 11:54:29,32,198,198,197,196,195,880,120
2024-04-04 11:54:30,32,184,183,183,183,181,880,120
2024-04-04 11:54:31,32,204,203,203,202,201,880,120
2024-04-04 11:54:32,32,166,165,165,165,164,881,122
2024-04-04 11:54:33,32,199,198,198,198,196,880,120
2024-04-04 11:54:34,32,180,179,178,178,177,881,121
2024-04-04 11:54:35,32,194,194,194,194,193,880,119
2024-04-04 11:54:36,32,176,175,175,174,173,880,119
2024-04-04 11:54:37,32,194,193,193,193,193,881,119
2024-04-04 11:54:38,32,182,181,180,179,178,881,120
2024-04-04 11:54:39,32,187,188,187,188,187,880,118
2024-04-04 11:54:40,32,188,186,186,185,183,880,117
2024-04-04 11:54:41,32,179,179,180,180,179,881,118
2024-04-04 11:54:42,32,195,193,192,191,191,880,119
2024-04-04 11:54:43,32,176,175,175,175,174,881,119
2024-04-04 11:54:44,32,198,197,197,196,195,881,119
2024-04-04 11:54:45,32,201,200,199,199,199,881,118
2024-04-04 11:54:46,32,188,188,188,187,186,881,119
